SOURCE,YEAR,COUNTR,REGION,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,X,Y,DEN1,DEN2,DEN3,DEN4,N_TYPES
DE_16053.pd,2003,Puerto Rico,Americas,0,200,-999,-66.043053,18.442973,1,1,1,1,4
DE_16053.pd,2004,Puerto Rico,Americas,0,200,-999,-65.957165,18.471794,1,1,1,1,4
DE_16066.pd,2009,Puerto Rico,Americas,0,200,-999,-66.463766,18.225313,1,0,0,0,4
DE_16066.pd,2010,Puerto Rico,Americas,0,200,-999,-66.463766,18.225313,1,1,0,1,4
DE_4968.pdf,2001,Samoa,Asia,0,212,-999,-172.213814,-13.705996,1,0,0,0,1
DE_16345,2012,Senegal,Africa,0,217,-999,-14.474163,14.700508,1,0,0,0,1
DE_4790.pdf,2003,Seychelles,Africa,0,220,-999,53.14488,-6.182026,1,0,0,0,1
DQ285561,2004,Seychelles,Africa,0,220,-999,53.14488,-6.182026,1,0,0,0,1
DE_4968.pdf,1990,Singapore,Asia,0,222,-999,103.807965,1.349812,1,0,0,0,1
GQ357792,2002,Singapore,Asia,0,222,-999,103.807965,1.349812,1,1,0,0,2
GQ357857,2003,Singapore,Asia,0,222,-999,103.807965,1.349812,1,1,1,0,3
DE_5027.pdf,2004,Singapore,Asia,0,222,-999,103.846044,1.361134,1,1,1,0,3
DE_14857.pd,2005,Singapore,Asia,0,222,-999,103.820284,1.361134,1,1,1,1,4
DE_3199.pdf,2006,Singapore,Asia,0,222,-999,103.846028,1.349812,1,1,1,1,4
DE_3199.pdf,2007,Singapore,Asia,0,222,-999,103.846028,1.358058,1,1,1,1,4
DE_3199.pdf,2008,Singapore,Asia,0,222,-999,103.846028,1.349812,1,1,1,1,4
DE_16162.pd,2009,Singapore,Asia,0,222,-999,103.807965,1.349812,1,1,1,1,4
DE_16162.pd,2010,Singapore,Asia,0,222,-999,103.807965,1.349812,1,1,1,1,4
JN544413,2011,Singapore,Asia,0,222,-999,103.826294,1.358058,1,1,1,1,4
DE_16288,2013,Singapore,Asia,0,222,-999,103.807965,1.349812,1,0,0,0,4
DE_1269.pdf,1980,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_1269.pdf,1981,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_1269.pdf,1982,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_1269.pdf,1984,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_1269.pdf,1985,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_16124.pd,1986,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_16124.pd,1987,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_16124.pd,1988,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1989,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1990,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1991,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1992,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1993,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1994,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1995,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1996,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_1269.pdf,1998,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,1999,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,2000,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,2001,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_4956.pdf,2002,Sri Lanka,Asia,0,231,-999,80.700308,7.624006,1,1,1,1,4
DE_16311,2010,Sri Lanka,Asia,0,231,-999,80.700308,7.678329,1,1,1,1,4
DE_4784.pdf,1981,Suriname,Americas,0,233,-999,-55.918176,4.133653,1,0,0,0,1
JN415500,2008,Timor-Leste,Asia,0,242,-999,125.851985,-8.55,1,0,0,1,2
JN415501,2009,Timor-Leste,Asia,0,242,-999,125.851985,-8.820461,1,0,0,0,2
JN568257,2010,Timor-Leste,Asia,0,242,-999,125.851985,-8.820461,1,1,0,0,3
DE_16280.pd,2012,Timor-Leste,Asia,0,242,-999,125.851985,-8.55,0,0,1,0,4
DE_16162.pd,2008,Tonga,Asia,0,245,-999,-175.056339,-19.756511,1,0,0,1,2
DE_16162.pd,2009,Tonga,Asia,0,245,-999,-175.056339,-19.756511,1,0,0,0,2
DE_16162.pd,2010,Tonga,Asia,0,245,-999,-175.056339,-19.756511,1,0,0,0,2
DE_5035.pdf,1978,Trinidad and Tobago,Americas,0,246,-999,-61.256756,10.469105,1,1,0,0,2
JN379483,1981,Trinidad and Tobago,Americas,0,246,-999,-61.256756,10.469105,1,0,0,0,2
DE_2976.pdf,1995,Trinidad and Tobago,Americas,0,246,-999,-61.256756,10.469105,1,0,0,0,2
DE_4968.pdf,1976,Myanmar,Asia,0,1011440,-999,96.508749,21.126344,1,0,1,0,2
JF459993,2002,Myanmar,Asia,0,1011440,-999,96.508749,21.126344,1,1,0,0,3
FJ502847,2005,Myanmar,Asia,0,1011440,-999,96.508749,21.126344,1,0,1,0,3
HM016513,2007,Myanmar,Asia,0,1011440,-999,96.508749,21.126344,1,0,1,0,3
JF968066,2008,Myanmar,Asia,0,1011440,-999,96.508749,21.126344,1,0,1,1,4
